simulation_id,input_parameters_tire_tire_id,input_parameters_tire_tire_type,input_parameters_tire_width,input_parameters_tire_aspect_ratio,input_parameters_tire_diameter,input_parameters_tire_mass,input_parameters_tire_tread_design_pattern_type,input_parameters_tire_tread_design_groove_depth,input_parameters_tire_tread_design_groove_width,input_parameters_tire_tread_design_groove_count,input_parameters_tire_tread_design_sipe_density,input_parameters_tire_tread_design_void_ratio,input_parameters_tire_tread_design_edge_count,input_parameters_tire_structure_belt_count,input_parameters_tire_structure_ply_count,input_parameters_tire_structure_belt_angle,input_parameters_tire_structure_carcass_type,input_parameters_tire_structure_max_load,input_parameters_tire_structure_max_pressure,input_parameters_compound_compound_id,input_parameters_compound_name,input_parameters_compound_compound_type,input_parameters_compound_base_properties_density,input_parameters_compound_base_properties_elastic_modulus,input_parameters_compound_base_properties_hardness_shore_a,input_parameters_compound_base_properties_wet_grip_coefficient,input_parameters_compound_base_properties_rolling_resistance_coeff,input_parameters_compound_base_properties_abrasion_resistance,input_parameters_compound_additives_silica,input_parameters_compound_additives_carbon_black,input_parameters_compound_additives_sulfur,input_parameters_compound_quantum_optimization_level,input_parameters_environment_ambient_temperature,input_parameters_environment_road_temperature,input_parameters_environment_surface_type,input_parameters_environment_surface_wetness,input_parameters_environment_weather,input_parameters_environment_humidity,input_parameters_environment_wind_speed,input_parameters_environment_altitude,input_parameters_environment_uv_index,input_parameters_environment_rainfall_rate,input_parameters_load_kg,input_parameters_pressure_kpa,input_parameters_speed_kmh,performance_metrics_grip_coefficient,performance_metrics_dry_grip,performance_metrics_wet_grip,performance_metrics_snow_grip,performance_metrics_ice_grip,performance_metrics_rolling_resistance,performance_metrics_wear_rate,performance_metrics_thermal_performance,performance_metrics_noise_level,performance_metrics_hydroplaning_resistance,performance_metrics_durability_index,performance_metrics_comfort_index,performance_metrics_fuel_efficiency_impact,performance_metrics_predicted_lifetime_km,performance_metrics_failure_mode,performance_metrics_optimization_score,thermal_analysis_tread_center,thermal_analysis_tread_shoulder,thermal_analysis_sidewall,thermal_analysis_inner_liner,thermal_analysis_max_temperature,thermal_analysis_avg_temperature,wear_analysis_center,wear_analysis_shoulder,wear_analysis_edge,wear_analysis_uniformity_index,wear_analysis_pattern,stress_analysis_tread_contact_stress_mpa,stress_analysis_belt_tension_mpa,stress_analysis_sidewall_stress_mpa,stress_analysis_bead_stress_mpa,stress_analysis_max_stress_mpa,optimization_suggestions,quantum_enhanced
SIM_000000,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0000,natural_rubber_variant_0,natural_rubber,1150.0,0.002,65,0.78,0.011,0.75,0.15,0.25,0.02,0.3745401188473625,-40.0,-34.96967410625601,dry_asphalt,0.10226847977218756,clear,0.7588066252767425,12.999278615555303,2105.90063177311,0,0.0,200.0,180.0,30.0,0.2319,0.4001,0.3335,0.4413,0.1891,0.0155,0.342,1.0,72.7,1.0,0.6636,0.8187,-0.08,54844.0,none,0.5679,-20.0,-25.0,-31.0,-28.0,-20.0,-26.3,0.975,1.19,0.946,0.785,normal,0.1,0.07,0.09,0.06,0.1,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Apply quantum optimization to discover superior compound formulation']",True
SIM_000001,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0001,synthetic_rubber_variant_1,synthetic_rubber,1150.0,0.0025,70,0.72,0.01,0.82,0.15,0.25,0.02,0.9507143064099162,-40.0,-34.96967410625601,dry_asphalt,0.10226847977218756,clear,0.7588066252767425,12.999278615555303,2105.90063177311,0,0.0,200.0,180.0,85.0,0.2141,0.3694,0.3078,0.4073,0.1746,0.0147,0.313,1.0,78.2,1.0,0.7256,0.8187,-0.07,65559.0,none,0.5837,7.5,2.5,-14.5,-6.0,7.5,-4.3,1.02,1.031,0.831,0.989,normal,0.1,0.07,0.09,0.06,0.1,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Reduce noise by optimizing tread pattern pitch sequence']",True
SIM_000002,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0002,biopolymer_variant_2,biopolymer,1150.0,0.0018,60,0.75,0.009,0.7,0.15,0.25,0.02,0.7319939418114051,-40.0,-34.96967410625601,dry_asphalt,0.10226847977218756,clear,0.7588066252767425,12.999278615555303,2105.90063177311,0,0.0,200.0,180.0,140.0,0.223,0.3848,0.3206,0.4243,0.1819,0.0136,0.366,1.0,83.7,1.0,0.6194,0.8187,-0.07,47775.0,none,0.5755,35.0,30.0,2.0,16.0,35.0,17.7,0.912,1.173,0.92,0.738,normal,0.1,0.07,0.09,0.06,0.1,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Reduce noise by optimizing tread pattern pitch sequence']",True
SIM_000003,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0003,nano_enhanced_variant_3,nano_enhanced,1150.0,0.0028,68,0.8,0.009,0.88,0.15,0.25,0.02,0.5986584841970366,-40.0,-34.96967410625601,dry_asphalt,0.10226847977218756,clear,0.7588066252767425,12.999278615555303,2105.90063177311,0,0.0,200.0,180.0,195.0,0.2379,0.4104,0.342,0.4526,0.194,0.0139,0.291,1.0,89.2,1.0,0.7786,0.8187,-0.07,75504.0,none,0.6079,62.5,57.5,18.5,38.0,62.5,39.7,1.042,1.004,0.994,0.963,normal,0.1,0.07,0.09,0.06,0.1,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Reduce noise by optimizing tread pattern pitch sequence']",True
SIM_000004,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0004,graphene_reinforced_variant_4,graphene_reinforced,1150.0,0.0032,72,0.82,0.008,0.92,0.15,0.25,0.02,0.15601864044243652,-40.0,-34.96967410625601,dry_asphalt,0.10226847977218756,clear,0.7588066252767425,12.999278615555303,2105.90063177311,0,0.0,200.0,180.0,250.0,0.2438,0.4207,0.3506,0.4639,0.1988,0.0126,0.279,1.0,94.7,1.0,0.814,0.8187,-0.06,82524.0,none,0.6294,90.0,85.0,35.0,60.0,90.0,61.7,1.066,1.042,0.836,0.976,normal,0.1,0.07,0.09,0.06,0.1,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Reduce noise by optimizing tread pattern pitch sequence', 'Apply quantum optimization to discover superior compound formulation']",True
SIM_000005,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0005,quantum_optimized_variant_5,quantum_optimized,1150.0,0.003,66,0.85,0.0075,0.95,0.15,0.25,0.02,0.15599452033620265,-40.0,-34.96967410625601,dry_asphalt,0.10226847977218756,clear,0.7588066252767425,12.999278615555303,2105.90063177311,0,0.0,200.0,222.5,30.0,0.2527,0.4361,0.3634,0.4809,0.2061,0.0105,0.334,1.0,72.7,1.0,0.8406,0.8187,-0.05,71186.0,none,0.6577,-20.0,-25.0,-31.0,-28.0,-20.0,-26.3,0.937,1.061,0.905,0.876,normal,0.13,0.09,0.11,0.07,0.13,"['Improve wet grip by increasing sipe density and microtexture', 'Apply quantum optimization to discover superior compound formulation']",True
SIM_000006,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0006,silica_enhanced_variant_6,silica_enhanced,1150.0,0.0024,64,0.8,0.0085,0.85,0.15,0.25,0.02,0.05808361216819946,-40.0,-34.96967410625601,dry_asphalt,0.10226847977218756,clear,0.7588066252767425,12.999278615555303,2105.90063177311,0,0.0,200.0,222.5,85.0,0.2379,0.4104,0.342,0.4526,0.194,0.0125,0.373,1.0,78.2,1.0,0.7521,0.8187,-0.06,56988.0,none,0.617,7.5,2.5,-14.5,-6.0,7.5,-4.3,0.986,1.058,0.922,0.928,normal,0.13,0.09,0.11,0.07,0.13,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Reduce noise by optimizing tread pattern pitch sequence', 'Apply quantum optimization to discover superior compound formulation']",True
SIM_000007,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0007,carbon_black_variant_7,carbon_black,1150.0,0.0026,68,0.76,0.01,0.8,0.15,0.25,0.02,0.8661761457749352,-40.0,-34.96967410625601,dry_asphalt,0.10226847977218756,clear,0.7588066252767425,12.999278615555303,2105.90063177311,0,0.0,200.0,222.5,140.0,0.226,0.3899,0.3249,0.43,0.1843,0.0151,0.396,1.0,83.7,1.0,0.7079,0.8187,-0.08,50481.0,none,0.5788,35.0,30.0,2.0,16.0,35.0,17.7,0.928,1.058,0.873,0.869,normal,0.13,0.09,0.11,0.07,0.13,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Reduce noise by optimizing tread pattern pitch sequence']",True
SIM_000008,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0000,natural_rubber_variant_0,natural_rubber,1150.0,0.002,65,0.78,0.011,0.75,0.15,0.25,0.02,0.3745401188473625,-26.666666666666664,-13.866559830315339,wet_asphalt,0.8978963347180505,rain,0.4629080668479608,1.87963879681738,1734.8404229885218,0.33333333333333304,11.759903137030715,200.0,222.5,195.0,0.0711,0.229,0.1909,0.4413,0.1891,0.0158,0.423,1.0,89.2,0.3699,0.6569,0.7923,-0.08,44368.0,none,0.4573,83.6,78.6,31.8,51.3,83.6,55.6,0.991,1.157,0.84,0.834,normal,0.13,0.09,0.11,0.07,0.13,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Enhance water evacuation capacity with deeper grooves', 'Reduce noise by optimizing tread pattern pitch sequence', 'Apply quantum optimization to discover superior compound formulation']",True
SIM_000009,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0001,synthetic_rubber_variant_1,synthetic_rubber,1150.0,0.0025,70,0.72,0.01,0.82,0.15,0.25,0.02,0.9507143064099162,-26.666666666666664,-13.866559830315339,wet_asphalt,0.8978963347180505,rain,0.4629080668479608,1.87963879681738,1734.8404229885218,0.33333333333333304,11.759903137030715,200.0,222.5,250.0,0.0656,0.2114,0.1762,0.4073,0.1746,0.0146,0.387,1.0,94.7,0.1611,0.7182,0.7923,-0.07,53036.0,none,0.4593,111.1,106.1,48.3,73.3,111.1,77.6,1.003,1.118,0.809,0.884,normal,0.13,0.09,0.11,0.07,0.13,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Enhance water evacuation capacity with deeper grooves', 'Reduce noise by optimizing tread pattern pitch sequence']",True
SIM_000010,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0002,biopolymer_variant_2,biopolymer,1150.0,0.0018,60,0.75,0.009,0.7,0.15,0.25,0.02,0.7319939418114051,-26.666666666666664,-13.866559830315339,wet_asphalt,0.8978963347180505,rain,0.4629080668479608,1.87963879681738,1734.8404229885218,0.33333333333333304,11.759903137030715,200.0,265.0,30.0,0.0684,0.2202,0.1835,0.4243,0.1819,0.0119,0.539,1.0,72.7,1.0,0.6131,0.7923,-0.06,32451.0,none,0.5498,1.1,-3.9,-17.7,-14.7,1.1,-10.4,1.022,1.034,0.813,0.987,normal,0.15,0.11,0.13,0.08,0.15,['Improve wet grip by increasing sipe density and microtexture'],True
SIM_000011,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0003,nano_enhanced_variant_3,nano_enhanced,1150.0,0.0028,68,0.8,0.009,0.88,0.15,0.25,0.02,0.5986584841970366,-26.666666666666664,-13.866559830315339,wet_asphalt,0.8978963347180505,rain,0.4629080668479608,1.87963879681738,1734.8404229885218,0.33333333333333304,11.759903137030715,200.0,265.0,85.0,0.0729,0.2349,0.1958,0.4526,0.194,0.0124,0.429,1.0,78.2,0.8775,0.7707,0.7923,-0.06,51286.0,none,0.5657,28.6,23.6,-1.2,7.3,28.6,11.6,1.09,1.193,0.962,0.897,normal,0.15,0.11,0.13,0.08,0.15,"['Reduce rolling resistance by optimizing compound viscoelasticity', 'Improve wet grip by increasing sipe density and microtexture', 'Reduce noise by optimizing tread pattern pitch sequence']",True
SIM_000012,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0004,graphene_reinforced_variant_4,graphene_reinforced,1150.0,0.0032,72,0.82,0.008,0.92,0.15,0.25,0.02,0.15601864044243652,-26.666666666666664,-13.866559830315339,wet_asphalt,0.8978963347180505,rain,0.4629080668479608,1.87963879681738,1734.8404229885218,0.33333333333333304,11.759903137030715,200.0,265.0,140.0,0.0748,0.2408,0.2006,0.4639,0.1988,0.0113,0.41,1.0,83.7,0.6938,0.8057,0.7923,-0.06,56054.0,none,0.5658,56.1,51.1,15.3,29.3,56.1,33.6,0.961,1.02,0.937,0.941,normal,0.15,0.11,0.13,0.08,0.15,"['Improve wet grip by increasing sipe density and microtexture', 'Enhance water evacuation capacity with deeper grooves', 'Reduce noise by optimizing tread pattern pitch sequence', 'Apply quantum optimization to discover superior compound formulation']",True
SIM_000013,TIRE_0000,passenger,205,55,16,10.05,symmetric,8.202230023486418,8.41614515559209,4,4.041168988591605,0.33324426408004215,171,2,2,22.0,radial,736.3649934414201,287.33618039413733,COMP_0005,quantum_optimized_variant_5,quantum_optimized,1150.0,0.003,66,0.85,0.0075,0.95,0.15,0.25,0.02,0.15599452033620265,-26.666666666666664,-13.866559830315339,wet_asphalt,0.8978963347180505,rain,0.4629080668479608,1.87963879681738,1734.8404229885218,0.33333333333333304,11.759903137030715,200.0,265.0,195.0,0.0775,0.2496,0.208,0.4809,0.2061,0.0108,0.397,1.0,89.2,0.5208,0.832,0.7923,-0.05,59769.0,none,0.5593,83.6,78.6,31.8,51.3,83.6,55.6,0.988,1.024,0.899,0.964,normal,0.15,0.11,0.13,0.08,0.15,"['Improve wet grip by increasing sipe density and microtexture', 'Enhance water evacuation capacity with deeper grooves', 'Reduce noise by optimizing tread pattern pitch sequence', 'Apply quantum optimization to discover superior compound formulation']",True
