Trial,Enterprise_Value
1,-17487364.12899256
2,-15940372.431545617
3,-14426232.57950343
4,-14043303.449831448
5,-13848255.76597621
6,-13556270.290058361
7,-13091531.938855285
8,-12172786.239369584
9,-11878799.839936849
10,-11391162.959442187
11,-10459814.091275385
12,-9948887.4715888
13,-9793032.967349278
14,-9783554.92596962
15,-9748832.78354355
16,-9536938.662682535
17,-9499540.567007864
18,-9468045.305118635
19,-9270768.465834752
20,-9032996.218137577
21,-8633753.65668393
22,-8312749.236087726
23,-8164030.552529415
24,-8078407.895020144
25,-8036318.524731245
26,-8004203.106266897
27,-7977940.6930601215
28,-7696662.455188209
29,-7658461.335081388
30,-7647050.181371195
31,-7619812.689932546
32,-7550731.774315428
33,-7466865.573789509
34,-7303188.792096715
35,-7265069.522371008
36,-7243126.589792566
37,-7239786.280734053
38,-7132385.486437936
39,-7082274.984915242
40,-6943690.233773804
41,-6814831.22240581
42,-6447004.676474795
43,-6193868.030932974
44,-6192737.632044028
45,-6176068.834345253
46,-6034547.339032944
47,-5990945.120856473
48,-5768840.126261604
49,-5552394.773783029
50,-5499232.484311336
51,-5455856.432033294
52,-5427950.786297987
53,-5390676.528037693
54,-5301666.67754089
55,-4699492.785664177
56,-4670342.907357711
57,-4667975.312927859
58,-4657986.59589595
59,-4632955.7646193765
60,-4566758.995671019
61,-4555515.219407668
62,-4550241.4129919
63,-4530605.0285935085
64,-4500302.731009193
65,-4487017.837121584
66,-4441002.567782327
67,-4439704.831872687
68,-4420706.109225841
69,-4412174.547708522
70,-4407991.967262667
71,-4360877.014354247
72,-4344831.282294369
73,-4318896.2462912835
74,-4290882.756669583
75,-4254003.342388824
76,-4239673.560397167
77,-4206344.835002906
78,-4176775.706171913
79,-4162920.6789184012
80,-4118659.771500586
81,-4107844.4889527597
82,-4105832.4184565996
83,-4051036.6229282534
84,-4032533.8900059084
85,-3987182.69247263
86,-3901711.694557395
87,-3883201.173955515
88,-3861401.1393190194
89,-3810022.940790718
90,-3790273.2323320583
91,-3787224.9932868127
92,-3751277.690552259
93,-3692767.0439205496
94,-3617162.1084149685
95,-3603980.14084753
96,-3551052.5199000523
97,-3549683.428851069
98,-3548856.3922576415
99,-3521140.5676596123
100,-3498827.0293012895
101,-3476618.240754022
102,-3472477.273668996
103,-3465012.5420323974
104,-3444539.78761121
105,-3434389.9823502814
106,-3416011.999925895
107,-3404251.048709222
108,-3401643.299588209
109,-3396740.6044702553
110,-3353163.5327395154
111,-3352292.7606741274
112,-3337443.681581773
113,-3329267.907049322
114,-3325246.189819989
115,-3305834.227058988
116,-3289182.73688859
117,-3282130.1168327467
118,-3236523.4744901983
119,-3236182.1558647715
120,-3196530.5272984593
121,-3191149.779754818
122,-3175700.1127644624
123,-3175170.4942780975
124,-3158222.1062175296
125,-3152178.361058465
126,-3149546.039615695
127,-3125984.0656544613
128,-3057090.937589502
129,-3047829.64824713
130,-3005895.5875411355
131,-3001887.8637729455
132,-2984947.1576912333
133,-2975251.306514792
134,-2967802.1069857525
135,-2943338.3833644423
136,-2938561.020385419
137,-2924124.3472537897
138,-2923631.5916606616
139,-2913228.8955884725
140,-2911824.640053069
141,-2900604.3657942005
142,-2878643.9667093465
143,-2859248.0211822335
144,-2838742.620176201
145,-2834057.7347928304
146,-2829556.280280369
147,-2827501.6632808587
148,-2809059.192144172
149,-2788985.104605436
150,-2766583.5488948086
151,-2758243.5642168103
152,-2687048.205097031
153,-2658837.1115549924
154,-2652578.6839580033
155,-2650002.306903098
156,-2625173.4005046436
157,-2598205.95514581
158,-2556136.21735682
159,-2551525.8714793883
160,-2543803.8574470244
161,-2536776.634241414
162,-2519489.994446986
163,-2490405.4713620245
164,-2483734.6897842693
165,-2482263.588165216
166,-2474835.956441773
167,-2430920.9630438387
168,-2388406.2964357045
169,-2385587.082787349
170,-2344809.4740709364
171,-2316037.3666213253
172,-2279680.4457419864
173,-2250179.5532754133
174,-2245599.907280134
175,-2239987.3430594327
176,-2236474.206573013
177,-2234741.432541313
178,-2211511.9007870317
179,-2194402.911920172
180,-2158759.7377881464
181,-2131510.4074446354
182,-2102579.8961205594
183,-2089581.8485393152
184,-2071796.5771187795
185,-2018929.6625363156
186,-2008228.7141941227
187,-1986939.3580255837
188,-1950655.3823359683
189,-1948496.159842406
190,-1947606.9997246289
191,-1946932.1790930885
192,-1909270.0587329566
193,-1897171.1691222712
194,-1888121.860417155
195,-1885093.7211193496
196,-1847817.4577451034
197,-1802457.3396727787
198,-1789224.486418256
199,-1787936.6719225722
200,-1729933.123154043
201,-1716337.3843918033
202,-1711865.3531388785
203,-1707446.9505656022
204,-1674788.6501653362
205,-1674109.1574294493
206,-1661981.606403395
207,-1660440.8076372943
208,-1647964.4609816563
209,-1647120.0173116135
210,-1644648.9444610777
211,-1639498.3337397864
212,-1633946.63893559
213,-1629238.5359717426
214,-1572677.0661376715
215,-1504089.9267005778
216,-1483527.55174156
217,-1471139.8730351126
218,-1461215.4387077182
219,-1456750.383322553
220,-1448049.8223215034
221,-1430888.4899979846
222,-1413971.557427767
223,-1405885.8659353154
224,-1387832.0130083738
225,-1381717.5847831569
226,-1301494.8227466438
227,-1301167.6661596624
228,-1285281.9369393266
229,-1252900.647346762
230,-1237488.2978213332
231,-1229872.0752774137
232,-1216209.869017375
233,-1208733.7470630463
234,-1194597.4147641212
235,-1160808.026098968
236,-1139242.4720992805
237,-1126861.4372026846
238,-1125682.329395018
239,-1118690.6031384151
240,-1115083.3383665439
241,-1088924.8760105623
242,-1084591.3122288126
243,-1074289.8201423455
244,-1071697.4936141986
245,-1051256.4792668875
246,-1037755.8066293774
247,-1031885.3045960019
248,-1018764.7522598037
249,-1002183.2326101783
250,-995017.8213224577
251,-991458.2675118715
252,-971691.6770653895
253,-968306.5922198752
254,-963669.2151383143
255,-957233.3003656
256,-950507.6217669377
257,-946998.1422357159
258,-937764.1409426145
259,-916663.129650471
260,-909747.3279894225
261,-895540.1667005414
262,-867218.1992798948
263,-836639.1144199038
264,-833224.4640377017
265,-832842.9391902697
266,-828537.9003070433
267,-814858.0631335408
268,-787513.9894318893
269,-783602.1103087645
270,-779644.9217012003
271,-717530.1482156288
272,-713985.4483566949
273,-710054.5765792563
274,-683577.0729869695
275,-672900.4232608515
276,-672363.1491879341
277,-669253.1549422175
278,-665818.347457781
279,-661931.670767817
280,-660031.8106429367
281,-658363.5972657669
282,-642872.755347583
283,-630695.2936744506
284,-617729.276556829
285,-616399.398258925
286,-600662.145522378
287,-587354.3944312569
288,-577035.8347620341
289,-564942.8816406818
290,-552161.9238684383
291,-531900.9787875949
292,-530708.7725646002
293,-515250.5318765256
294,-505532.33797451435
295,-504886.0249098793
296,-498538.498850876
297,-494117.1087662948
298,-483702.2092897679
299,-481856.41880513704
300,-479172.29559986066
301,-478419.6806390705
302,-475993.7862866562
303,-474741.49864879705
304,-469180.08505845093
305,-468627.3775663371
306,-462110.5898700832
307,-425316.1643472994
308,-412807.97959346464
309,-407041.7826614097
310,-402733.6550567945
311,-391549.13182637224
312,-378402.4789111467
313,-373131.56852863147
314,-371493.91175738536
315,-371481.8113349557
316,-371026.8443582652
317,-362547.19557508384
318,-356975.527789599
319,-353995.58205934503
320,-345796.7210828964
321,-329454.14864204417
322,-312103.55565536465
323,-310133.01601518644
324,-275569.2174383899
325,-269176.9005671048
326,-263446.2312045653
327,-246271.6530570151
328,-236319.20705325843
329,-231066.58454540465
