id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
201,Swarm Intelligence,Swarm-based optimization for resource allocation using multi-agent ai & swarm approaches,D3,0.89,0.92,Swarm algorithms;Multi-agent coordination,D8;D2,QStack,1,simulation
202,Multi-Agent Systems,Multi-agent coordination for collaborative planning using multi-agent ai & swarm approaches,D3,0.77,0.71,,D12,QStack,1,model
203,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.79,0.77,,D8;D2,QStack,1,analysis
204,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.85,0.84,,D2,QStack,1,optimization
205,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.79,0.75,,D2;D11,QStack,1,design
206,Swarm Intelligence,Swarm-based optimization for path planning using multi-agent ai & swarm approaches,D3,0.78,0.93,,D2,QStack,1,prediction
207,Multi-Agent Systems,Multi-agent coordination for distributed sensing using multi-agent ai & swarm approaches,D3,0.9,0.8,,D11;D8,QStack,1,simulation
208,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.82,0.78,,D11;D8,QStack,1,model
209,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.94,0.82,,D8;D2,QStack,1,analysis
210,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.82,0.87,,D8,QStack,1,optimization
211,Swarm Intelligence,Swarm-based optimization for task scheduling using multi-agent ai & swarm approaches,D3,0.87,0.79,,D11,QStack,1,design
212,Multi-Agent Systems,Multi-agent coordination for emergent behavior using multi-agent ai & swarm approaches,D3,0.91,0.73,,D11;D8,QStack,1,prediction
213,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.84,0.86,,D8,QStack,1,simulation
214,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.72,0.81,,D2,QStack,1,model
215,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.89,0.89,Swarm algorithms;Multi-agent coordination,D11;D2,QStack,1,analysis
216,Swarm Intelligence,Swarm-based optimization for resource allocation using multi-agent ai & swarm approaches,D3,0.93,0.81,,D2,QStack,1,optimization
217,Multi-Agent Systems,Multi-agent coordination for collaborative planning using multi-agent ai & swarm approaches,D3,0.81,0.73,,D2,QStack,1,design
218,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.77,0.86,,D11;D2,QStack,1,prediction
219,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.73,0.93,,D8;D12,QStack,1,simulation
220,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.95,0.83,,D12,QStack,1,model
221,Swarm Intelligence,Swarm-based optimization for path planning using multi-agent ai & swarm approaches,D3,0.92,0.76,,D12,QStack,1,analysis
222,Multi-Agent Systems,Multi-agent coordination for distributed sensing using multi-agent ai & swarm approaches,D3,0.93,0.89,,D8,QStack,1,optimization
223,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.89,0.93,,D2;D12,QStack,1,design
224,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.86,0.83,,D8,QStack,1,prediction
225,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.75,0.68,,D8,QStack,1,simulation
226,Swarm Intelligence,Swarm-based optimization for task scheduling using multi-agent ai & swarm approaches,D3,0.77,0.75,,D11,QStack,1,model
227,Multi-Agent Systems,Multi-agent coordination for emergent behavior using multi-agent ai & swarm approaches,D3,0.8,0.73,,D8,QStack,1,analysis
228,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.75,0.92,,D2,QStack,1,optimization
229,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.9,0.96,Swarm algorithms;Multi-agent coordination,D12,QStack,1,design
230,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.82,0.73,,D11,QStack,1,prediction
231,Swarm Intelligence,Swarm-based optimization for resource allocation using multi-agent ai & swarm approaches,D3,0.87,0.92,,D2,QStack,2,simulation
232,Multi-Agent Systems,Multi-agent coordination for collaborative planning using multi-agent ai & swarm approaches,D3,0.91,0.82,,D2,QStack,2,model
233,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.73,0.8,,D2;D12,QStack,2,analysis
234,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.71,0.91,,D11;D2,QStack,2,optimization
235,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.84,0.87,,D8,QStack,2,design
236,Swarm Intelligence,Swarm-based optimization for path planning using multi-agent ai & swarm approaches,D3,0.82,0.83,,D11,QStack,2,prediction
237,Multi-Agent Systems,Multi-agent coordination for distributed sensing using multi-agent ai & swarm approaches,D3,0.79,0.77,,D12;D11,QStack,2,simulation
238,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.79,0.93,,D2,QStack,2,model
239,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.74,0.88,,D11;D12,QStack,2,analysis
240,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.8,0.79,,D11;D2,QStack,2,optimization
241,Swarm Intelligence,Swarm-based optimization for task scheduling using multi-agent ai & swarm approaches,D3,0.81,0.75,,D12,QStack,2,design
242,Multi-Agent Systems,Multi-agent coordination for emergent behavior using multi-agent ai & swarm approaches,D3,0.81,0.82,,D12;D11,QStack,2,prediction
243,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.92,0.9,Swarm algorithms;Multi-agent coordination,D11;D12,QStack,2,simulation
244,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.7,0.92,,D12,QStack,2,model
245,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.82,0.73,,D11;D8,QStack,2,analysis
246,Swarm Intelligence,Swarm-based optimization for resource allocation using multi-agent ai & swarm approaches,D3,0.87,0.74,,D8;D2,QStack,2,optimization
247,Multi-Agent Systems,Multi-agent coordination for collaborative planning using multi-agent ai & swarm approaches,D3,0.89,0.79,,D12;D8,QStack,2,design
248,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.94,0.76,,D12;D2,QStack,2,prediction
249,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.94,0.86,,D11,QStack,2,simulation
250,Emergent Behavior,Emergent Behavior simulation and optimization using multi-agent ai & swarm approaches,D3,0.78,0.74,,D8,QStack,2,model
251,Swarm Intelligence,Swarm-based optimization for path planning using multi-agent ai & swarm approaches,D3,0.79,0.73,,D2,QStack,2,analysis
252,Multi-Agent Systems,Multi-agent coordination for distributed sensing using multi-agent ai & swarm approaches,D3,0.83,0.69,,D8,QStack,2,optimization
253,Distributed AI,Distributed AI simulation and optimization using multi-agent ai & swarm approaches,D3,0.94,0.82,,D8;D2,QStack,2,design
254,Coordination Algorithms,Coordination Algorithms simulation and optimization using multi-agent ai & swarm approaches,D3,0.9,0.83,,D12;D2,QStack,2,prediction
