id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
601,Nanomaterial Synthesis,Synthesis pathways for graphene with enhanced properties using advanced materials & nanotech approaches,D7,0.88,0.93,Nanofabrication;Surface chemistry,D1,QuASIM,1,simulation
602,Surface Engineering,Surface Engineering simulation and optimization using advanced materials & nanotech approaches,D7,0.71,0.86,,D1,QuASIM,1,model
603,Nanostructure Design,Nanostructure Design simulation and optimization using advanced materials & nanotech approaches,D7,0.95,0.85,,D4,QuASIM,1,analysis
604,Quantum Dots,Quantum Dots simulation and optimization using advanced materials & nanotech approaches,D7,0.91,0.79,,D4;D13,QuASIM,1,optimization
605,2D Materials,2D Materials simulation and optimization using advanced materials & nanotech approaches,D7,0.93,0.74,,D13;D6,QuASIM,1,design
606,Nanomaterial Synthesis,Synthesis pathways for quantum dots with enhanced properties using advanced materials & nanotech approaches,D7,0.89,0.85,,D6;D1,QuASIM,1,prediction
607,Surface Engineering,Surface Engineering simulation and optimization using advanced materials & nanotech approaches,D7,0.71,0.69,,D13,QuASIM,1,simulation
608,Nanostructure Design,Nanostructure Design simulation and optimization using advanced materials & nanotech approaches,D7,0.84,0.86,,D13,QuASIM,1,model
609,Quantum Dots,Quantum Dots simulation and optimization using advanced materials & nanotech approaches,D7,0.82,0.88,,D1;D13,QuASIM,1,analysis
610,2D Materials,2D Materials simulation and optimization using advanced materials & nanotech approaches,D7,0.76,0.74,,D4;D13,QuASIM,1,optimization
611,Nanomaterial Synthesis,Synthesis pathways for carbon nanotubes with enhanced properties using advanced materials & nanotech approaches,D7,0.92,0.77,,D13;D6,QuASIM,1,design
612,Surface Engineering,Surface Engineering simulation and optimization using advanced materials & nanotech approaches,D7,0.88,0.88,,D13,QuASIM,1,prediction
613,Nanostructure Design,Nanostructure Design simulation and optimization using advanced materials & nanotech approaches,D7,0.74,0.88,,D4;D6,QuASIM,1,simulation
614,Quantum Dots,Quantum Dots simulation and optimization using advanced materials & nanotech approaches,D7,0.92,0.71,,D13;D6,QuASIM,1,model
615,2D Materials,2D Materials simulation and optimization using advanced materials & nanotech approaches,D7,0.94,0.86,Nanofabrication;Surface chemistry,D6,QuASIM,1,analysis
616,Nanomaterial Synthesis,Synthesis pathways for graphene with enhanced properties using advanced materials & nanotech approaches,D7,0.77,0.88,,D4;D1,QuASIM,1,optimization
617,Surface Engineering,Surface Engineering simulation and optimization using advanced materials & nanotech approaches,D7,0.81,0.83,,D6,QuASIM,1,design
618,Nanostructure Design,Nanostructure Design simulation and optimization using advanced materials & nanotech approaches,D7,0.84,0.72,,D4;D6,QuASIM,1,prediction
619,Quantum Dots,Quantum Dots simulation and optimization using advanced materials & nanotech approaches,D7,0.91,0.7,,D13;D6,QuASIM,1,simulation
620,2D Materials,2D Materials simulation and optimization using advanced materials & nanotech approaches,D7,0.73,0.69,,D6,QuASIM,1,model
