id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
701,Computer Vision,Vision-based object detection for autonomous systems using ai & autonomous systems approaches,D8,0.91,0.93,Deep learning;Sensor fusion,D20,QStack,1,simulation
702,Autonomous Navigation,Autonomous Navigation simulation and optimization using ai & autonomous systems approaches,D8,0.84,0.79,,D11,QStack,1,model
703,Reinforcement Learning,Reinforcement Learning simulation and optimization using ai & autonomous systems approaches,D8,0.75,0.78,,D11;D3,QStack,1,analysis
704,Decision Systems,Decision Systems simulation and optimization using ai & autonomous systems approaches,D8,0.85,0.93,,D3,QStack,1,optimization
705,Sensor Fusion,Multi-sensor fusion for tracking applications using ai & autonomous systems approaches,D8,0.75,0.82,,D20,QStack,1,design
706,Computer Vision,Vision-based motion tracking for autonomous systems using ai & autonomous systems approaches,D8,0.7,0.85,,D11,QStack,1,prediction
707,Autonomous Navigation,Autonomous Navigation simulation and optimization using ai & autonomous systems approaches,D8,0.78,0.82,,D3;D6,QStack,1,simulation
708,Reinforcement Learning,Reinforcement Learning simulation and optimization using ai & autonomous systems approaches,D8,0.78,0.92,,D3,QStack,1,model
709,Decision Systems,Decision Systems simulation and optimization using ai & autonomous systems approaches,D8,0.94,0.7,,D20,QStack,1,analysis
710,Sensor Fusion,Multi-sensor fusion for localization applications using ai & autonomous systems approaches,D8,0.93,0.81,,D11,QStack,1,optimization
711,Computer Vision,Vision-based scene understanding for autonomous systems using ai & autonomous systems approaches,D8,0.81,0.84,,D20;D6,QStack,1,design
712,Autonomous Navigation,Autonomous Navigation simulation and optimization using ai & autonomous systems approaches,D8,0.81,0.77,,D11;D3,QStack,1,prediction
713,Reinforcement Learning,Reinforcement Learning simulation and optimization using ai & autonomous systems approaches,D8,0.86,0.84,,D11,QStack,1,simulation
714,Decision Systems,Decision Systems simulation and optimization using ai & autonomous systems approaches,D8,0.88,0.77,,D3,QStack,1,model
715,Sensor Fusion,Multi-sensor fusion for recognition applications using ai & autonomous systems approaches,D8,0.95,0.87,Deep learning;Sensor fusion,D11,QStack,1,analysis
716,Computer Vision,Vision-based object detection for autonomous systems using ai & autonomous systems approaches,D8,0.81,0.74,,D3;D20,QStack,1,optimization
