id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
801,Biomedical Devices,Medical device simulation for implants using biomedical & synthetic biology approaches,D9,0.95,0.92,Tissue engineering;Gene therapy,D19;D4,QuASIM,1,simulation
802,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.71,0.69,,D14,QuASIM,1,model
803,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.88,0.73,,D19,QuASIM,1,analysis
804,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.73,0.71,,D4;D19,QuASIM,1,optimization
805,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.83,0.83,,D16,QuASIM,1,design
806,Biomedical Devices,Medical device simulation for drug delivery using biomedical & synthetic biology approaches,D9,0.81,0.82,,D14;D4,QuASIM,1,prediction
807,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.9,0.88,,D14,QuASIM,1,simulation
808,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.81,0.85,,D14;D16,QuASIM,1,model
809,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.95,0.76,,D14;D4,QuASIM,1,analysis
810,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.73,0.75,,D16;D19,QuASIM,1,optimization
811,Biomedical Devices,Medical device simulation for sensors using biomedical & synthetic biology approaches,D9,0.93,0.72,,D16;D14,QuASIM,1,design
812,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.81,0.71,,D4;D14,QuASIM,1,prediction
813,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.83,0.72,,D4,QuASIM,1,simulation
814,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.8,0.69,,D16;D4,QuASIM,1,model
815,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.95,0.93,Tissue engineering;Gene therapy,D19,QuASIM,1,analysis
816,Biomedical Devices,Medical device simulation for implants using biomedical & synthetic biology approaches,D9,0.86,0.84,,D4,QuASIM,1,optimization
817,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.81,0.82,,D16;D19,QuASIM,1,design
818,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.84,0.87,,D14,QuASIM,1,prediction
819,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.95,0.74,,D19;D4,QuASIM,1,simulation
820,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.79,0.82,,D14,QuASIM,1,model
821,Biomedical Devices,Medical device simulation for drug delivery using biomedical & synthetic biology approaches,D9,0.88,0.71,,D16;D19,QuASIM,1,analysis
822,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.81,0.71,,D16,QuASIM,1,optimization
823,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.71,0.85,,D19,QuASIM,1,design
824,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.94,0.82,,D14;D16,QuASIM,1,prediction
825,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.76,0.92,,D16,QuASIM,1,simulation
826,Biomedical Devices,Medical device simulation for sensors using biomedical & synthetic biology approaches,D9,0.71,0.75,,D14;D4,QuASIM,1,model
827,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.89,0.7,,D14;D19,QuASIM,1,analysis
828,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.85,0.73,,D14,QuASIM,1,optimization
829,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.88,0.86,Tissue engineering;Gene therapy,D19,QuASIM,1,design
830,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.84,0.7,,D19;D4,QuASIM,1,prediction
831,Biomedical Devices,Medical device simulation for implants using biomedical & synthetic biology approaches,D9,0.85,0.88,,D19,QuASIM,2,simulation
832,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.91,0.72,,D14,QuASIM,2,model
833,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.79,0.86,,D14,QuASIM,2,analysis
834,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.94,0.69,,D16;D19,QuASIM,2,optimization
835,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.76,0.83,,D14;D19,QuASIM,2,design
836,Biomedical Devices,Medical device simulation for drug delivery using biomedical & synthetic biology approaches,D9,0.88,0.91,,D4,QuASIM,2,prediction
837,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.85,0.73,,D16,QuASIM,2,simulation
838,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.8,0.83,,D4,QuASIM,2,model
839,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.76,0.7,,D14;D4,QuASIM,2,analysis
840,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.93,0.85,,D14,QuASIM,2,optimization
841,Biomedical Devices,Medical device simulation for sensors using biomedical & synthetic biology approaches,D9,0.79,0.74,,D16,QuASIM,2,design
842,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.95,0.84,,D19,QuASIM,2,prediction
843,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.91,0.87,Tissue engineering;Gene therapy,D14,QuASIM,2,simulation
844,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.7,0.87,,D19,QuASIM,2,model
845,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.73,0.7,,D16,QuASIM,2,analysis
846,Biomedical Devices,Medical device simulation for implants using biomedical & synthetic biology approaches,D9,0.76,0.79,,D4;D19,QuASIM,2,optimization
847,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.71,0.74,,D16,QuASIM,2,design
848,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.84,0.82,,D4,QuASIM,2,prediction
849,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.87,0.91,,D19;D16,QuASIM,2,simulation
850,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.86,0.69,,D14;D4,QuASIM,2,model
851,Biomedical Devices,Medical device simulation for drug delivery using biomedical & synthetic biology approaches,D9,0.76,0.71,,D14;D4,QuASIM,2,analysis
852,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.84,0.94,,D4;D19,QuASIM,2,optimization
853,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.93,0.79,,D16,QuASIM,2,design
854,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.84,0.89,,D4,QuASIM,2,prediction
855,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.8,0.83,,D19,QuASIM,2,simulation
856,Biomedical Devices,Medical device simulation for sensors using biomedical & synthetic biology approaches,D9,0.8,0.94,,D16;D19,QuASIM,2,model
857,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.96,0.9,Tissue engineering;Gene therapy,D19;D4,QuASIM,2,analysis
858,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.92,0.89,,D14,QuASIM,2,optimization
859,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.9,0.87,,D16,QuASIM,2,design
860,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.86,0.7,,D16,QuASIM,2,prediction
861,Biomedical Devices,Medical device simulation for implants using biomedical & synthetic biology approaches,D9,0.76,0.69,,D16,QuASIM,3,simulation
862,Tissue Engineering,Tissue Engineering simulation and optimization using biomedical & synthetic biology approaches,D9,0.71,0.77,,D19;D4,QuASIM,3,model
863,Gene Therapy,Gene Therapy simulation and optimization using biomedical & synthetic biology approaches,D9,0.9,0.84,,D19,QuASIM,3,analysis
864,Drug Delivery,Drug Delivery simulation and optimization using biomedical & synthetic biology approaches,D9,0.93,0.7,,D4,QuASIM,3,optimization
865,Diagnostic Systems,Diagnostic Systems simulation and optimization using biomedical & synthetic biology approaches,D9,0.92,0.76,,D14;D4,QuASIM,3,design
