id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
901,Climate Intervention,Geoengineering approach for carbon removal using climate science & geoengineering approaches,D10,0.95,0.88,Carbon capture;Geoengineering,D18,QNimbus,1,simulation
902,Carbon Removal,Carbon Removal simulation and optimization using climate science & geoengineering approaches,D10,0.89,0.84,,D13;D18,QNimbus,1,model
903,Solar Radiation Management,Solar Radiation Management simulation and optimization using climate science & geoengineering approaches,D10,0.84,0.71,,D13;D5,QNimbus,1,analysis
904,Ocean Alkalinization,Ocean Alkalinization simulation and optimization using climate science & geoengineering approaches,D10,0.74,0.89,,D5,QNimbus,1,optimization
905,Atmospheric Chemistry,Atmospheric Chemistry simulation and optimization using climate science & geoengineering approaches,D10,0.82,0.9,,D18,QNimbus,1,design
906,Climate Intervention,Geoengineering approach for ocean alkalinization using climate science & geoengineering approaches,D10,0.93,0.81,,D19,QNimbus,1,prediction
907,Carbon Removal,Carbon Removal simulation and optimization using climate science & geoengineering approaches,D10,0.75,0.75,,D19;D5,QNimbus,1,simulation
908,Solar Radiation Management,Solar Radiation Management simulation and optimization using climate science & geoengineering approaches,D10,0.86,0.92,,D5;D19,QNimbus,1,model
909,Ocean Alkalinization,Ocean Alkalinization simulation and optimization using climate science & geoengineering approaches,D10,0.82,0.7,,D13;D19,QNimbus,1,analysis
910,Atmospheric Chemistry,Atmospheric Chemistry simulation and optimization using climate science & geoengineering approaches,D10,0.76,0.85,,D19,QNimbus,1,optimization
911,Climate Intervention,Geoengineering approach for solar management using climate science & geoengineering approaches,D10,0.93,0.82,,D5,QNimbus,1,design
912,Carbon Removal,Carbon Removal simulation and optimization using climate science & geoengineering approaches,D10,0.77,0.84,,D13,QNimbus,1,prediction
913,Solar Radiation Management,Solar Radiation Management simulation and optimization using climate science & geoengineering approaches,D10,0.92,0.78,,D5;D19,QNimbus,1,simulation
914,Ocean Alkalinization,Ocean Alkalinization simulation and optimization using climate science & geoengineering approaches,D10,0.71,0.75,,D19,QNimbus,1,model
