id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
1001,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.89,0.91,Robotic control;Human-robot interaction,D3,QStack,1,simulation
1002,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.73,0.69,,D3,QStack,1,model
1003,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.91,0.85,,D12;D20,QStack,1,analysis
1004,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.88,0.93,,D8;D20,QStack,1,optimization
1005,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.93,0.91,,D12,QStack,1,design
1006,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.8,0.73,,D20;D3,QStack,1,prediction
1007,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.94,0.91,,D12;D20,QStack,1,simulation
1008,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.74,0.8,,D12,QStack,1,model
1009,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.71,0.91,,D12,QStack,1,analysis
1010,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.83,0.88,,D3,QStack,1,optimization
1011,Robotic Manipulation,Advanced manipulation for sorting tasks using advanced robotics & automation approaches,D11,0.71,0.82,,D8;D20,QStack,1,design
1012,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.87,0.7,,D3,QStack,1,prediction
1013,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.94,0.9,,D20,QStack,1,simulation
1014,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.71,0.81,,D3,QStack,1,model
1015,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.86,0.71,,D12,QStack,1,analysis
1016,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.74,0.74,,D20,QStack,1,optimization
1017,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.71,0.78,,D8;D3,QStack,1,design
1018,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.9,0.78,,D12,QStack,1,prediction
1019,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.79,0.89,,D3;D12,QStack,1,simulation
1020,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.94,0.71,,D20,QStack,1,model
1021,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.79,0.88,,D20,QStack,1,analysis
1022,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.75,0.84,,D8;D20,QStack,1,optimization
1023,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.89,0.73,,D20;D8,QStack,1,design
1024,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.76,0.73,,D3,QStack,1,prediction
1025,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.82,0.8,,D8,QStack,1,simulation
1026,Robotic Manipulation,Advanced manipulation for sorting tasks using advanced robotics & automation approaches,D11,0.7,0.83,,D20,QStack,1,model
1027,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.72,0.71,,D3,QStack,1,analysis
1028,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.82,0.85,,D20,QStack,1,optimization
1029,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.89,0.79,,D3,QStack,1,design
1030,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.9,0.78,,D12,QStack,1,prediction
1031,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.87,0.71,,D8,QStack,1,simulation
1032,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.79,0.8,,D20,QStack,1,model
1033,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.84,0.73,,D3;D12,QStack,1,analysis
1034,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.85,0.91,,D12;D20,QStack,1,optimization
1035,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.84,0.82,,D3;D20,QStack,1,design
1036,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.92,0.9,,D20,QStack,1,prediction
1037,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.81,0.78,,D12;D20,QStack,1,simulation
1038,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.71,0.77,,D8,QStack,1,model
1039,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.77,0.93,,D20,QStack,1,analysis
1040,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.81,0.7,,D12;D8,QStack,1,optimization
1041,Robotic Manipulation,Advanced manipulation for sorting tasks using advanced robotics & automation approaches,D11,0.8,0.74,,D3;D12,QStack,1,design
1042,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.76,0.82,,D3,QStack,1,prediction
1043,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.84,0.89,,D3,QStack,1,simulation
1044,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.75,0.94,,D3,QStack,1,model
1045,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.95,0.74,,D8;D3,QStack,1,analysis
1046,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.78,0.9,,D3,QStack,1,optimization
1047,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.94,0.68,,D20,QStack,1,design
1048,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.74,0.94,,D3;D8,QStack,1,prediction
1049,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.93,0.75,,D3;D8,QStack,1,simulation
1050,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.79,0.81,,D20;D8,QStack,1,model
1051,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.74,0.86,,D12,QStack,1,analysis
1052,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.85,0.73,,D12;D8,QStack,1,optimization
1053,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.79,0.79,,D3,QStack,1,design
1054,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.94,0.94,,D8,QStack,1,prediction
1055,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.88,0.93,,D3,QStack,1,simulation
1056,Robotic Manipulation,Advanced manipulation for sorting tasks using advanced robotics & automation approaches,D11,0.82,0.86,,D8;D12,QStack,1,model
1057,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.9,0.7,,D20,QStack,1,analysis
1058,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.8,0.78,,D8;D20,QStack,1,optimization
1059,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.75,0.93,,D12,QStack,1,design
1060,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.89,0.85,,D20;D12,QStack,1,prediction
1061,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.75,0.77,,D8;D3,QStack,1,simulation
1062,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.85,0.79,,D20;D12,QStack,1,model
1063,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.93,0.77,,D8;D3,QStack,1,analysis
1064,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.93,0.7,,D8,QStack,1,optimization
1065,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.77,0.91,,D3;D8,QStack,1,design
1066,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.8,0.76,,D20;D3,QStack,1,prediction
1067,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.72,0.76,,D8;D20,QStack,1,simulation
1068,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.81,0.92,,D20;D12,QStack,1,model
1069,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.77,0.92,,D20,QStack,1,analysis
1070,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.95,0.86,,D20,QStack,1,optimization
1071,Robotic Manipulation,Advanced manipulation for sorting tasks using advanced robotics & automation approaches,D11,0.86,0.73,,D12,QStack,1,design
1072,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.96,0.88,Robotic control;Human-robot interaction,D20,QStack,1,prediction
1073,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.82,0.89,,D3,QStack,1,simulation
1074,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.76,0.86,,D20,QStack,1,model
1075,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.84,0.92,,D3;D8,QStack,1,analysis
1076,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.92,0.85,,D12,QStack,1,optimization
1077,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.72,0.92,,D20,QStack,1,design
1078,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.84,0.79,,D3;D12,QStack,1,prediction
1079,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.75,0.8,,D12,QStack,1,simulation
1080,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.71,0.85,,D12,QStack,1,model
1081,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.77,0.78,,D12;D3,QStack,1,analysis
1082,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.73,0.82,,D3;D8,QStack,1,optimization
1083,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.85,0.7,,D8,QStack,1,design
1084,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.93,0.83,,D3;D8,QStack,1,prediction
1085,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.88,0.85,,D12,QStack,1,simulation
1086,Robotic Manipulation,Advanced manipulation for sorting tasks using advanced robotics & automation approaches,D11,0.79,0.72,,D20;D12,QStack,1,model
1087,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.72,0.8,,D8,QStack,1,analysis
1088,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.73,0.89,,D12,QStack,1,optimization
1089,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.75,0.75,,D20,QStack,1,design
1090,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.75,0.78,,D20,QStack,1,prediction
1091,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.83,0.74,,D20;D8,QStack,1,simulation
1092,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.76,0.79,,D8,QStack,1,model
1093,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.78,0.74,,D12;D20,QStack,1,analysis
1094,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.93,0.93,,D3;D12,QStack,1,optimization
1095,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.73,0.93,,D3;D8,QStack,1,design
1096,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.84,0.74,,D3;D20,QStack,1,prediction
1097,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.91,0.73,,D20,QStack,1,simulation
1098,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.78,0.88,,D8;D12,QStack,1,model
1099,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.76,0.77,,D8,QStack,1,analysis
1100,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.82,0.71,,D3;D12,QStack,1,optimization
1101,Robotic Manipulation,Advanced manipulation for sorting tasks using advanced robotics & automation approaches,D11,0.91,0.86,,D8;D20,QStack,1,design
1102,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.8,0.79,,D12,QStack,1,prediction
1103,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.89,0.92,,D20;D3,QStack,1,simulation
1104,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.73,0.74,,D20;D12,QStack,1,model
1105,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.89,0.91,,D20;D12,QStack,1,analysis
1106,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.81,0.79,,D20,QStack,1,optimization
1107,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.9,0.82,,D3,QStack,1,design
1108,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.83,0.75,,D20;D12,QStack,1,prediction
1109,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.74,0.85,,D3;D20,QStack,1,simulation
1110,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.84,0.88,,D8,QStack,1,model
1111,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.74,0.69,,D12,QStack,1,analysis
1112,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.79,0.92,,D3,QStack,1,optimization
1113,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.87,0.75,,D8;D3,QStack,1,design
1114,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.89,0.85,,D8,QStack,1,prediction
1115,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.75,0.69,,D3,QStack,1,simulation
1116,Robotic Manipulation,Advanced manipulation for sorting tasks using advanced robotics & automation approaches,D11,0.95,0.72,,D8,QStack,1,model
1117,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.7,0.84,,D3;D8,QStack,1,analysis
1118,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.71,0.92,,D3;D20,QStack,1,optimization
1119,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.94,0.76,,D12;D8,QStack,1,design
1120,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.75,0.91,,D8,QStack,1,prediction
1121,Robotic Manipulation,Advanced manipulation for assembly tasks using advanced robotics & automation approaches,D11,0.78,0.72,,D20;D12,QStack,1,simulation
1122,Human-Robot Interaction,Human-Robot Interaction simulation and optimization using advanced robotics & automation approaches,D11,0.86,0.93,,D8,QStack,1,model
1123,Collaborative Robotics,Collaborative Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.73,0.75,,D20;D12,QStack,1,analysis
1124,Industrial Automation,Industrial Automation simulation and optimization using advanced robotics & automation approaches,D11,0.88,0.73,,D3;D8,QStack,1,optimization
1125,Soft Robotics,Soft Robotics simulation and optimization using advanced robotics & automation approaches,D11,0.82,0.74,,D12,QStack,1,design
1126,Robotic Manipulation,Advanced manipulation for delicate handling tasks using advanced robotics & automation approaches,D11,0.75,0.83,,D20;D12,QStack,1,prediction
