id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
1501,Sensor Fusion,Multi-sensor fusion for localization applications using iot & sensor networks approaches,D12,0.88,0.92,Edge computing;IoT protocols,D3;D16,QNimbus,1,simulation
1502,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.72,0.93,,D20,QNimbus,1,model
1503,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.92,0.75,,D8;D20,QNimbus,1,analysis
1504,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.93,0.91,,D16,QNimbus,1,optimization
1505,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.84,0.88,,D8,QNimbus,1,design
1506,Sensor Fusion,Multi-sensor fusion for recognition applications using iot & sensor networks approaches,D12,0.92,0.93,,D20;D3,QNimbus,1,prediction
1507,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.94,0.92,,D20,QNimbus,1,simulation
1508,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.85,0.69,,D16,QNimbus,1,model
1509,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.92,0.81,,D3,QNimbus,1,analysis
1510,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.8,0.72,,D3,QNimbus,1,optimization
1511,Sensor Fusion,Multi-sensor fusion for tracking applications using iot & sensor networks approaches,D12,0.94,0.79,,D16,QNimbus,1,design
1512,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.74,0.9,,D16,QNimbus,1,prediction
1513,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.9,0.88,,D16,QNimbus,1,simulation
1514,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.81,0.82,,D3,QNimbus,1,model
1515,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.91,0.76,,D3;D16,QNimbus,1,analysis
1516,Sensor Fusion,Multi-sensor fusion for localization applications using iot & sensor networks approaches,D12,0.83,0.73,,D8;D20,QNimbus,1,optimization
1517,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.93,0.83,,D3,QNimbus,1,design
1518,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.7,0.69,,D20;D8,QNimbus,1,prediction
1519,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.89,0.91,,D8,QNimbus,1,simulation
1520,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.82,0.75,,D20;D3,QNimbus,1,model
1521,Sensor Fusion,Multi-sensor fusion for recognition applications using iot & sensor networks approaches,D12,0.92,0.75,,D16,QNimbus,1,analysis
1522,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.94,0.8,,D20;D16,QNimbus,1,optimization
1523,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.91,0.9,,D16;D20,QNimbus,1,design
1524,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.84,0.74,,D3;D20,QNimbus,1,prediction
1525,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.88,0.92,,D16;D8,QNimbus,1,simulation
1526,Sensor Fusion,Multi-sensor fusion for tracking applications using iot & sensor networks approaches,D12,0.76,0.81,,D16;D3,QNimbus,1,model
1527,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.92,0.87,,D3;D16,QNimbus,1,analysis
1528,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.71,0.82,,D8,QNimbus,1,optimization
1529,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.91,0.92,,D8;D16,QNimbus,1,design
1530,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.84,0.77,,D20,QNimbus,1,prediction
1531,Sensor Fusion,Multi-sensor fusion for localization applications using iot & sensor networks approaches,D12,0.77,0.76,,D3;D16,QNimbus,1,simulation
1532,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.72,0.81,,D3,QNimbus,1,model
1533,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.91,0.9,,D16,QNimbus,1,analysis
1534,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.83,0.91,,D20,QNimbus,1,optimization
1535,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.86,0.71,,D3;D8,QNimbus,1,design
1536,Sensor Fusion,Multi-sensor fusion for recognition applications using iot & sensor networks approaches,D12,0.77,0.92,,D20,QNimbus,1,prediction
1537,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.76,0.9,,D20;D8,QNimbus,1,simulation
1538,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.86,0.87,,D8,QNimbus,1,model
1539,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.91,0.88,,D8,QNimbus,1,analysis
1540,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.94,0.89,,D3,QNimbus,1,optimization
1541,Sensor Fusion,Multi-sensor fusion for tracking applications using iot & sensor networks approaches,D12,0.71,0.75,,D16,QNimbus,1,design
1542,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.9,0.72,,D8;D3,QNimbus,1,prediction
1543,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.89,0.92,,D3;D16,QNimbus,1,simulation
1544,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.78,0.74,,D16;D8,QNimbus,1,model
1545,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.87,0.93,,D8;D3,QNimbus,1,analysis
1546,Sensor Fusion,Multi-sensor fusion for localization applications using iot & sensor networks approaches,D12,0.88,0.81,,D8,QNimbus,1,optimization
1547,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.85,0.73,,D20;D8,QNimbus,1,design
1548,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.71,0.75,,D16,QNimbus,1,prediction
1549,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.9,0.91,,D16,QNimbus,1,simulation
1550,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.93,0.74,,D3,QNimbus,1,model
1551,Sensor Fusion,Multi-sensor fusion for recognition applications using iot & sensor networks approaches,D12,0.81,0.88,,D8,QNimbus,1,analysis
1552,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.89,0.88,,D3;D16,QNimbus,1,optimization
1553,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.85,0.78,,D8,QNimbus,1,design
1554,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.89,0.79,,D16,QNimbus,1,prediction
1555,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.81,0.71,,D16,QNimbus,1,simulation
1556,Sensor Fusion,Multi-sensor fusion for tracking applications using iot & sensor networks approaches,D12,0.9,0.7,,D8;D3,QNimbus,1,model
1557,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.74,0.71,,D3,QNimbus,1,analysis
1558,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.9,0.77,,D8,QNimbus,1,optimization
1559,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.72,0.93,,D3,QNimbus,1,design
1560,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.72,0.85,,D3,QNimbus,1,prediction
1561,Sensor Fusion,Multi-sensor fusion for localization applications using iot & sensor networks approaches,D12,0.82,0.8,,D16;D8,QNimbus,1,simulation
1562,Edge Computing,Edge Computing simulation and optimization using iot & sensor networks approaches,D12,0.81,0.85,,D8,QNimbus,1,model
1563,Network Protocols,Network Protocols simulation and optimization using iot & sensor networks approaches,D12,0.93,0.77,,D3,QNimbus,1,analysis
1564,IoT Security,IoT Security simulation and optimization using iot & sensor networks approaches,D12,0.92,0.86,,D16;D20,QNimbus,1,optimization
1565,Smart Devices,Smart Devices simulation and optimization using iot & sensor networks approaches,D12,0.74,0.7,,D16,QNimbus,1,design
