id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
2001,Fusion Reactor Design,Fusion reactor plasma containment using next-gen energy systems approaches,D13,0.94,0.87,Fusion physics;Advanced storage,D2;D10,QuASIM,1,simulation
2002,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.73,0.82,,D10,QuASIM,1,model
2003,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.82,0.8,,D2,QuASIM,1,analysis
2004,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.88,0.78,,D17;D2,QuASIM,1,optimization
2005,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.75,0.93,,D2,QuASIM,1,design
2006,Fusion Reactor Design,Fusion reactor divertor optimization using next-gen energy systems approaches,D13,0.95,0.88,,D17,QuASIM,1,prediction
2007,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.73,0.85,,D17;D7,QuASIM,1,simulation
2008,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.86,0.87,,D10;D17,QuASIM,1,model
2009,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.72,0.88,,D2,QuASIM,1,analysis
2010,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.71,0.92,,D7,QuASIM,1,optimization
2011,Fusion Reactor Design,Fusion reactor blanket design using next-gen energy systems approaches,D13,0.75,0.84,,D2,QuASIM,1,design
2012,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.89,0.9,,D17,QuASIM,1,prediction
2013,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.84,0.79,,D7,QuASIM,1,simulation
2014,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.73,0.87,,D10,QuASIM,1,model
2015,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.83,0.71,,D7,QuASIM,1,analysis
2016,Fusion Reactor Design,Fusion reactor plasma containment using next-gen energy systems approaches,D13,0.8,0.88,,D10,QuASIM,1,optimization
2017,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.73,0.92,,D2;D17,QuASIM,1,design
2018,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.7,0.75,,D10,QuASIM,1,prediction
2019,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.91,0.75,,D2,QuASIM,1,simulation
2020,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.74,0.84,,D7;D10,QuASIM,1,model
2021,Fusion Reactor Design,Fusion reactor divertor optimization using next-gen energy systems approaches,D13,0.81,0.78,,D7;D10,QuASIM,1,analysis
2022,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.75,0.85,,D7,QuASIM,1,optimization
2023,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.87,0.79,,D17;D10,QuASIM,1,design
2024,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.93,0.83,,D10,QuASIM,1,prediction
2025,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.7,0.86,,D7,QuASIM,1,simulation
2026,Fusion Reactor Design,Fusion reactor blanket design using next-gen energy systems approaches,D13,0.9,0.69,,D17,QuASIM,1,model
2027,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.77,0.79,,D10,QuASIM,1,analysis
2028,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.95,0.8,,D17,QuASIM,1,optimization
2029,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.74,0.86,,D2,QuASIM,1,design
2030,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.73,0.83,,D10;D2,QuASIM,1,prediction
2031,Fusion Reactor Design,Fusion reactor plasma containment using next-gen energy systems approaches,D13,0.73,0.75,,D7;D17,QuASIM,1,simulation
2032,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.9,0.77,,D7,QuASIM,1,model
2033,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.73,0.9,,D10,QuASIM,1,analysis
2034,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.9,0.79,,D17;D10,QuASIM,1,optimization
2035,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.94,0.92,,D7,QuASIM,1,design
2036,Fusion Reactor Design,Fusion reactor divertor optimization using next-gen energy systems approaches,D13,0.82,0.71,,D10,QuASIM,1,prediction
2037,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.77,0.82,,D7;D17,QuASIM,1,simulation
2038,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.91,0.77,,D10;D2,QuASIM,1,model
2039,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.76,0.88,,D10;D7,QuASIM,1,analysis
2040,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.85,0.74,,D2;D7,QuASIM,1,optimization
2041,Fusion Reactor Design,Fusion reactor blanket design using next-gen energy systems approaches,D13,0.77,0.86,,D10,QuASIM,1,design
2042,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.79,0.91,,D7;D10,QuASIM,1,prediction
2043,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.78,0.86,,D10,QuASIM,1,simulation
2044,Hydrogen Storage,Hydrogen Storage simulation and optimization using next-gen energy systems approaches,D13,0.85,0.89,,D10,QuASIM,1,model
2045,Grid Integration,Grid Integration simulation and optimization using next-gen energy systems approaches,D13,0.87,0.75,,D17,QuASIM,1,analysis
2046,Fusion Reactor Design,Fusion reactor plasma containment using next-gen energy systems approaches,D13,0.78,0.83,,D10,QuASIM,1,optimization
2047,Advanced Batteries,Advanced Batteries simulation and optimization using next-gen energy systems approaches,D13,0.91,0.74,,D10,QuASIM,1,design
2048,Supercapacitors,Supercapacitors simulation and optimization using next-gen energy systems approaches,D13,0.78,0.71,,D7,QuASIM,1,prediction
