id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
2501,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.93,0.94,Synthetic biology;Metabolic engineering,D9;D19,QuASIM,1,simulation
2502,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.71,0.77,,D9,QuASIM,1,model
2503,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.74,0.92,,D19,QuASIM,1,analysis
2504,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.92,0.77,,D19;D1,QuASIM,1,optimization
2505,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.88,0.83,,D9,QuASIM,1,design
2506,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.83,0.9,,D19,QuASIM,1,prediction
2507,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.73,0.69,,D1,QuASIM,1,simulation
2508,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.73,0.91,,D4;D9,QuASIM,1,model
2509,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.71,0.76,,D4;D1,QuASIM,1,analysis
2510,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.91,0.72,,D9,QuASIM,1,optimization
2511,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.91,0.93,,D1,QuASIM,1,design
2512,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.81,0.71,,D4;D19,QuASIM,1,prediction
2513,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.74,0.84,,D1;D9,QuASIM,1,simulation
2514,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.78,0.82,,D1;D19,QuASIM,1,model
2515,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.72,0.7,,D19;D1,QuASIM,1,analysis
2516,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.87,0.85,,D4,QuASIM,1,optimization
2517,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.75,0.72,,D4;D9,QuASIM,1,design
2518,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.85,0.85,,D1;D4,QuASIM,1,prediction
2519,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.95,0.85,,D19,QuASIM,1,simulation
2520,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.73,0.77,,D9,QuASIM,1,model
2521,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.93,0.94,,D9;D4,QuASIM,1,analysis
2522,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.72,,D4,QuASIM,1,optimization
2523,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.79,0.82,,D9;D1,QuASIM,1,design
2524,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.83,0.76,,D1,QuASIM,1,prediction
2525,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.71,0.87,,D19;D9,QuASIM,1,simulation
2526,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.73,0.78,,D4,QuASIM,1,model
2527,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.76,0.73,,D1;D19,QuASIM,1,analysis
2528,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.92,,D1;D4,QuASIM,1,optimization
2529,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.7,,D1,QuASIM,1,design
2530,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.72,0.93,,D9;D19,QuASIM,1,prediction
2531,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.93,0.85,,D1,QuASIM,1,simulation
2532,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.94,0.7,,D1,QuASIM,1,model
2533,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.92,0.81,,D4,QuASIM,1,analysis
2534,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.75,0.85,,D19,QuASIM,1,optimization
2535,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.83,0.68,,D1;D4,QuASIM,1,design
2536,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.91,0.75,,D9,QuASIM,1,prediction
2537,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.76,0.79,,D19;D1,QuASIM,1,simulation
2538,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.7,0.73,,D1;D9,QuASIM,1,model
2539,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.93,0.83,,D19;D1,QuASIM,1,analysis
2540,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.88,0.74,,D1,QuASIM,1,optimization
2541,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.93,0.68,,D4;D9,QuASIM,1,design
2542,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.79,0.92,,D1,QuASIM,1,prediction
2543,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.77,0.94,,D19,QuASIM,1,simulation
2544,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.8,0.91,,D4,QuASIM,1,model
2545,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.73,0.74,,D19,QuASIM,1,analysis
2546,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.83,0.83,,D19,QuASIM,1,optimization
2547,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.76,0.69,,D1;D19,QuASIM,1,design
2548,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.75,0.8,,D19,QuASIM,1,prediction
2549,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.76,0.84,,D4,QuASIM,1,simulation
2550,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.74,0.94,,D9,QuASIM,1,model
2551,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.72,0.77,,D19;D4,QuASIM,1,analysis
2552,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.75,,D9,QuASIM,1,optimization
2553,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.79,0.84,,D19;D4,QuASIM,1,design
2554,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.78,0.72,,D19,QuASIM,1,prediction
2555,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.89,0.93,,D19,QuASIM,1,simulation
2556,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.93,0.75,,D4,QuASIM,1,model
2557,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.84,0.78,,D4,QuASIM,1,analysis
2558,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.81,0.74,,D19,QuASIM,1,optimization
2559,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.92,0.85,,D19;D4,QuASIM,1,design
2560,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.92,0.81,,D19,QuASIM,1,prediction
2561,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.89,0.71,,D19,QuASIM,1,simulation
2562,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.89,0.86,,D19,QuASIM,1,model
2563,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.92,0.86,,D4,QuASIM,1,analysis
2564,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.84,0.7,,D4,QuASIM,1,optimization
2565,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.87,0.71,,D19,QuASIM,1,design
2566,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.79,0.74,,D4,QuASIM,1,prediction
2567,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.85,0.69,,D4,QuASIM,1,simulation
2568,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.8,0.72,,D4;D19,QuASIM,1,model
2569,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.89,0.93,,D1;D19,QuASIM,1,analysis
2570,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.92,0.81,,D19,QuASIM,1,optimization
2571,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.92,0.87,,D4,QuASIM,1,design
2572,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.93,0.89,Synthetic biology;Metabolic engineering,D9,QuASIM,1,prediction
2573,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.74,0.69,,D9,QuASIM,1,simulation
2574,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.91,0.88,,D19,QuASIM,1,model
2575,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.87,0.83,,D1,QuASIM,1,analysis
2576,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.89,0.86,,D1,QuASIM,1,optimization
2577,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.88,0.69,,D1,QuASIM,1,design
2578,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.71,0.88,,D1,QuASIM,1,prediction
2579,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.7,0.93,,D4,QuASIM,1,simulation
2580,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.94,0.8,,D1,QuASIM,1,model
2581,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.92,0.72,,D9,QuASIM,1,analysis
2582,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.8,0.73,,D1,QuASIM,1,optimization
2583,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.78,0.83,,D4,QuASIM,1,design
2584,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.81,0.81,,D9,QuASIM,1,prediction
2585,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.8,0.74,,D1;D4,QuASIM,1,simulation
2586,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.75,0.73,,D9,QuASIM,1,model
2587,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.88,0.77,,D1;D19,QuASIM,1,analysis
2588,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.87,0.8,,D19,QuASIM,1,optimization
2589,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.83,0.94,,D1,QuASIM,1,design
2590,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.75,0.85,,D4,QuASIM,1,prediction
2591,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.78,0.69,,D4,QuASIM,1,simulation
2592,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.8,0.71,,D19,QuASIM,1,model
2593,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.75,0.9,,D1;D9,QuASIM,1,analysis
2594,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.84,0.79,,D1,QuASIM,1,optimization
2595,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.85,0.93,,D1,QuASIM,1,design
2596,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.84,0.74,,D1;D9,QuASIM,1,prediction
2597,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.7,,D9;D4,QuASIM,1,simulation
2598,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.93,0.83,,D4;D1,QuASIM,1,model
2599,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.85,0.89,,D4,QuASIM,1,analysis
2600,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.87,0.73,,D4;D1,QuASIM,1,optimization
2601,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.86,0.87,,D19,QuASIM,1,design
2602,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.7,0.88,,D1;D9,QuASIM,1,prediction
2603,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.74,0.74,,D9;D4,QuASIM,1,simulation
2604,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.71,0.91,,D4,QuASIM,1,model
2605,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.84,0.89,,D4;D9,QuASIM,1,analysis
2606,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.92,0.86,,D9;D4,QuASIM,1,optimization
2607,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.72,0.81,,D1,QuASIM,1,design
2608,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.77,0.81,,D4,QuASIM,1,prediction
2609,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.93,0.85,,D19,QuASIM,1,simulation
2610,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.81,,D9,QuASIM,1,model
2611,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.72,0.73,,D9,QuASIM,1,analysis
2612,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.74,0.69,,D4;D19,QuASIM,1,optimization
2613,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.83,0.84,,D4,QuASIM,1,design
2614,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.75,0.73,,D1;D4,QuASIM,1,prediction
2615,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.79,0.7,,D19,QuASIM,1,simulation
2616,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.85,0.93,,D19;D1,QuASIM,1,model
2617,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.91,0.76,,D19,QuASIM,1,analysis
2618,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.74,0.71,,D1,QuASIM,1,optimization
2619,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.73,0.72,,D9,QuASIM,1,design
2620,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.91,0.87,,D1,QuASIM,1,prediction
2621,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.82,0.89,,D1,QuASIM,1,simulation
2622,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.94,0.94,,D4,QuASIM,1,model
2623,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.69,,D19,QuASIM,1,analysis
2624,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.74,0.92,,D1;D9,QuASIM,1,optimization
2625,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.71,0.83,,D1;D19,QuASIM,1,design
2626,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.77,0.92,,D9,QuASIM,1,prediction
2627,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.71,0.72,,D19,QuASIM,1,simulation
2628,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.78,0.7,,D1,QuASIM,1,model
2629,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.73,0.88,,D1;D4,QuASIM,1,analysis
2630,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.73,0.89,,D1;D19,QuASIM,1,optimization
2631,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.82,0.72,,D1;D4,QuASIM,1,design
2632,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.84,0.68,,D9,QuASIM,1,prediction
2633,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.88,0.91,,D19,QuASIM,1,simulation
2634,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.89,0.78,,D19;D4,QuASIM,1,model
2635,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.93,0.75,,D9,QuASIM,1,analysis
2636,Synthetic Organisms,Synthetic biology design for biofuel production using synthetic life & biofabrication approaches,D14,0.74,0.75,,D9;D4,QuASIM,1,optimization
2637,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.85,0.78,,D4,QuASIM,1,design
2638,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.71,0.69,,D19,QuASIM,1,prediction
2639,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.82,0.73,,D1,QuASIM,1,simulation
2640,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.76,0.86,,D4,QuASIM,1,model
2641,Synthetic Organisms,Synthetic biology design for biosensing using synthetic life & biofabrication approaches,D14,0.73,0.74,,D9;D4,QuASIM,1,analysis
2642,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.84,0.89,,D1,QuASIM,1,optimization
2643,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.93,0.89,Synthetic biology;Metabolic engineering,D9;D19,QuASIM,1,design
2644,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.78,0.72,,D9;D4,QuASIM,1,prediction
2645,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.77,0.92,,D19,QuASIM,1,simulation
2646,Synthetic Organisms,Synthetic biology design for waste remediation using synthetic life & biofabrication approaches,D14,0.75,0.83,,D1,QuASIM,1,model
2647,Biofabrication,Biofabrication simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.8,,D19;D4,QuASIM,1,analysis
2648,Genetic Circuits,Genetic Circuits simulation and optimization using synthetic life & biofabrication approaches,D14,0.86,0.85,,D4,QuASIM,1,optimization
2649,Metabolic Engineering,Metabolic Engineering simulation and optimization using synthetic life & biofabrication approaches,D14,0.79,0.85,,D1,QuASIM,1,design
2650,Biological Computing,Biological Computing simulation and optimization using synthetic life & biofabrication approaches,D14,0.7,0.92,,D1,QuASIM,1,prediction
