id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
3001,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.92,0.89,Multi-physics;Digital twins,D6;D11,QuASIM,1,simulation
3002,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.74,0.9,,D6,QuASIM,1,model
3003,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.92,0.76,,D2;D6,QuASIM,1,analysis
3004,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.83,,D6,QuASIM,1,optimization
3005,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.8,0.81,,D1;D11,QuASIM,1,design
3006,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.82,0.76,,D2;D1,QuASIM,1,prediction
3007,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.93,0.82,,D6,QuASIM,1,simulation
3008,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.74,0.92,,D1,QuASIM,1,model
3009,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.83,0.89,,D2,QuASIM,1,analysis
3010,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.85,,D11,QuASIM,1,optimization
3011,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.72,0.74,,D2,QuASIM,1,design
3012,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.78,0.85,,D1;D2,QuASIM,1,prediction
3013,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.82,0.73,,D6;D2,QuASIM,1,simulation
3014,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.78,,D11;D6,QuASIM,1,model
3015,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.88,,D6;D2,QuASIM,1,analysis
3016,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.76,0.92,,D2,QuASIM,1,optimization
3017,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.8,0.8,,D1;D11,QuASIM,1,design
3018,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.88,,D1,QuASIM,1,prediction
3019,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.81,,D1,QuASIM,1,simulation
3020,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.93,0.72,,D1,QuASIM,1,model
3021,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.73,0.92,,D2;D11,QuASIM,1,analysis
3022,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.81,0.85,,D2,QuASIM,1,optimization
3023,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.76,0.82,,D1,QuASIM,1,design
3024,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.76,0.9,,D6;D1,QuASIM,1,prediction
3025,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.9,0.86,,D11,QuASIM,1,simulation
3026,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.89,0.86,,D1,QuASIM,1,model
3027,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.76,0.71,,D11,QuASIM,1,analysis
3028,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.92,0.91,,D2,QuASIM,1,optimization
3029,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.88,0.78,,D2,QuASIM,1,design
3030,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.79,,D11,QuASIM,1,prediction
3031,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.78,0.93,,D2;D11,QuASIM,1,simulation
3032,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.88,0.76,,D1,QuASIM,1,model
3033,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.87,,D2;D6,QuASIM,1,analysis
3034,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.81,,D2;D11,QuASIM,1,optimization
3035,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.76,,D2,QuASIM,1,design
