id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
4501,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.91,0.92,Life support;ISRU,D6;D14,QNimbus,1,simulation
4502,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.73,0.76,,D6;D19,QNimbus,1,model
4503,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.84,0.81,,D19;D14,QNimbus,1,analysis
4504,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.79,0.78,,D13;D6,QNimbus,1,optimization
4505,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.84,0.76,,D6;D13,QNimbus,1,design
4506,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.76,0.78,,D19;D13,QNimbus,1,prediction
4507,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.91,0.71,,D19;D13,QNimbus,1,simulation
4508,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.75,0.7,,D6;D13,QNimbus,1,model
4509,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.78,0.87,,D13,QNimbus,1,analysis
4510,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.89,0.86,,D14,QNimbus,1,optimization
4511,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.77,0.75,,D13;D19,QNimbus,1,design
4512,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.84,0.88,,D13;D14,QNimbus,1,prediction
4513,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.92,0.73,,D6,QNimbus,1,simulation
4514,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.77,0.84,,D14;D6,QNimbus,1,model
4515,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.72,0.75,,D6;D14,QNimbus,1,analysis
4516,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.82,0.68,,D13;D19,QNimbus,1,optimization
4517,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.77,0.91,,D6,QNimbus,1,design
4518,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.92,0.87,,D19,QNimbus,1,prediction
4519,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.72,0.78,,D19;D13,QNimbus,1,simulation
4520,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.95,0.94,,D6,QNimbus,1,model
4521,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.9,0.78,,D6;D13,QNimbus,1,analysis
4522,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.95,0.89,,D14,QNimbus,1,optimization
4523,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.78,0.69,,D19,QNimbus,1,design
4524,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.84,0.89,,D14;D13,QNimbus,1,prediction
4525,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.71,0.79,,D6,QNimbus,1,simulation
4526,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.94,0.84,,D13,QNimbus,1,model
4527,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.93,0.84,,D19;D13,QNimbus,1,analysis
4528,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.75,0.73,,D14;D6,QNimbus,1,optimization
4529,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.92,0.9,,D6,QNimbus,1,design
4530,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.79,0.91,,D19;D14,QNimbus,1,prediction
4531,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.74,0.71,,D14,QNimbus,1,simulation
4532,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.77,0.81,,D6,QNimbus,1,model
4533,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.87,0.74,,D6;D14,QNimbus,1,analysis
4534,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.74,0.78,,D13,QNimbus,1,optimization
4535,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.73,0.92,,D6,QNimbus,1,design
4536,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.82,0.75,,D13,QNimbus,1,prediction
4537,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.93,0.9,,D14,QNimbus,1,simulation
4538,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.86,0.86,,D6;D19,QNimbus,1,model
4539,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.75,0.72,,D19;D13,QNimbus,1,analysis
4540,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.81,0.85,,D6,QNimbus,1,optimization
4541,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.76,0.7,,D19,QNimbus,1,design
4542,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.83,0.81,,D19,QNimbus,1,prediction
4543,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.8,0.87,,D19,QNimbus,1,simulation
4544,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.76,0.89,,D13;D14,QNimbus,1,model
4545,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.71,0.91,,D19,QNimbus,1,analysis
4546,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.73,0.84,,D6;D14,QNimbus,1,optimization
4547,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.95,0.85,,D14,QNimbus,1,design
4548,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.83,0.7,,D6,QNimbus,1,prediction
4549,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.78,0.82,,D13,QNimbus,1,simulation
4550,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.85,0.86,,D6;D14,QNimbus,1,model
4551,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.94,0.77,,D14,QNimbus,1,analysis
4552,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.85,0.91,,D14,QNimbus,1,optimization
4553,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.7,0.8,,D13;D14,QNimbus,1,design
4554,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.75,0.73,,D19;D13,QNimbus,1,prediction
4555,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.94,0.92,,D13,QNimbus,1,simulation
4556,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.7,0.78,,D6,QNimbus,1,model
4557,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.79,0.89,,D6,QNimbus,1,analysis
4558,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.91,0.83,,D13,QNimbus,1,optimization
4559,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.81,0.92,,D13,QNimbus,1,design
4560,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.9,0.71,,D13;D19,QNimbus,1,prediction
4561,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.8,0.76,,D6,QNimbus,1,simulation
4562,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.75,0.92,,D14;D19,QNimbus,1,model
4563,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.76,0.77,,D6,QNimbus,1,analysis
4564,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.79,0.84,,D14;D13,QNimbus,1,optimization
4565,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.79,0.93,,D19,QNimbus,1,design
4566,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.95,0.89,,D19,QNimbus,1,prediction
4567,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.78,0.85,,D6,QNimbus,1,simulation
4568,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.73,0.69,,D19,QNimbus,1,model
4569,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.88,0.87,,D14,QNimbus,1,analysis
4570,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.76,0.88,,D6;D19,QNimbus,1,optimization
4571,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.85,0.87,,D14,QNimbus,1,design
4572,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.8,0.69,,D14,QNimbus,1,prediction
4573,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.72,0.81,,D13;D14,QNimbus,1,simulation
4574,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.86,0.77,,D14,QNimbus,1,model
4575,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.75,0.68,,D6,QNimbus,1,analysis
4576,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.84,0.92,,D13,QNimbus,1,optimization
4577,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.85,0.92,,D6,QNimbus,1,design
4578,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.81,0.79,,D13;D14,QNimbus,1,prediction
4579,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.78,0.9,,D13;D19,QNimbus,1,simulation
4580,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.84,0.86,,D19,QNimbus,1,model
4581,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.84,0.92,,D14;D13,QNimbus,1,analysis
4582,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.85,0.84,,D14;D13,QNimbus,1,optimization
4583,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.77,0.86,,D6,QNimbus,1,design
4584,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.84,0.89,,D14,QNimbus,1,prediction
4585,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.82,0.94,,D13;D14,QNimbus,1,simulation
4586,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.85,0.71,,D14;D6,QNimbus,1,model
4587,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.92,0.86,,D6,QNimbus,1,analysis
4588,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.88,0.68,,D19,QNimbus,1,optimization
4589,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.73,0.71,,D19,QNimbus,1,design
4590,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.8,0.8,,D13,QNimbus,1,prediction
4591,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.8,0.93,,D13;D6,QNimbus,1,simulation
4592,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.87,0.78,,D6,QNimbus,1,model
4593,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.75,0.87,,D14,QNimbus,1,analysis
4594,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.9,0.71,,D14,QNimbus,1,optimization
4595,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.88,0.78,,D6,QNimbus,1,design
4596,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.89,0.87,,D13;D6,QNimbus,1,prediction
4597,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.71,0.73,,D14,QNimbus,1,simulation
4598,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.81,0.87,,D14;D6,QNimbus,1,model
4599,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.81,0.82,,D13;D6,QNimbus,1,analysis
4600,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.9,0.73,,D13,QNimbus,1,optimization
4601,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.76,0.83,,D6,QNimbus,1,design
4602,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.75,0.84,,D14;D6,QNimbus,1,prediction
4603,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.71,0.73,,D6;D14,QNimbus,1,simulation
4604,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.82,0.77,,D19,QNimbus,1,model
4605,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.92,0.83,,D6,QNimbus,1,analysis
4606,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.92,0.88,,D14;D13,QNimbus,1,optimization
4607,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.91,0.9,,D13,QNimbus,1,design
4608,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.9,0.77,,D6,QNimbus,1,prediction
4609,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.7,0.89,,D6,QNimbus,1,simulation
4610,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.71,0.7,,D13,QNimbus,1,model
4611,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.94,0.78,,D6,QNimbus,1,analysis
4612,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.73,0.72,,D14,QNimbus,1,optimization
4613,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.89,0.81,,D13,QNimbus,1,design
4614,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.85,0.91,,D14,QNimbus,1,prediction
4615,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.71,0.78,,D13;D19,QNimbus,1,simulation
4616,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.83,0.76,,D14,QNimbus,1,model
4617,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.84,0.77,,D14;D6,QNimbus,1,analysis
4618,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.9,0.86,,D19;D14,QNimbus,1,optimization
4619,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.71,0.86,,D19;D14,QNimbus,1,design
4620,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.73,0.85,,D19;D14,QNimbus,1,prediction
4621,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.91,0.88,,D6;D14,QNimbus,1,simulation
4622,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.75,0.88,,D13;D14,QNimbus,1,model
4623,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.84,0.94,,D6,QNimbus,1,analysis
4624,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.9,0.85,,D19,QNimbus,1,optimization
4625,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.78,0.74,,D6,QNimbus,1,design
4626,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.9,0.86,,D6;D13,QNimbus,1,prediction
4627,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.78,0.74,,D13,QNimbus,1,simulation
4628,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.71,0.89,,D19,QNimbus,1,model
4629,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.84,0.73,,D6;D19,QNimbus,1,analysis
4630,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.91,0.8,,D13;D6,QNimbus,1,optimization
4631,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.74,0.8,,D6,QNimbus,1,design
4632,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.77,0.83,,D13;D14,QNimbus,1,prediction
4633,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.77,0.71,,D14,QNimbus,1,simulation
4634,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.72,0.91,,D6;D14,QNimbus,1,model
4635,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.77,0.92,,D6,QNimbus,1,analysis
4636,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.82,0.77,,D19;D14,QNimbus,1,optimization
4637,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.8,0.86,,D19,QNimbus,1,design
4638,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.89,0.71,,D14,QNimbus,1,prediction
4639,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.72,0.71,,D19,QNimbus,1,simulation
4640,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.82,0.79,,D19;D13,QNimbus,1,model
4641,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.82,0.74,,D19;D6,QNimbus,1,analysis
4642,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.73,0.83,,D13,QNimbus,1,optimization
4643,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.92,0.91,Life support;ISRU,D14,QNimbus,1,design
4644,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.76,0.81,,D19,QNimbus,1,prediction
4645,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.77,0.82,,D13;D14,QNimbus,1,simulation
4646,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.82,0.69,,D6,QNimbus,1,model
4647,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.73,0.77,,D13;D19,QNimbus,1,analysis
4648,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.75,0.71,,D13,QNimbus,1,optimization
4649,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.93,0.9,,D13;D14,QNimbus,1,design
4650,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.84,0.88,,D14,QNimbus,1,prediction
4651,Habitat Design,Space habitat design for lunar base using space exploration & colonization approaches,D17,0.76,0.73,,D13,QNimbus,1,simulation
4652,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.79,0.87,,D19;D13,QNimbus,1,model
4653,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.88,0.81,,D14;D6,QNimbus,1,analysis
4654,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.94,0.85,,D19,QNimbus,1,optimization
4655,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.8,0.74,,D14,QNimbus,1,design
4656,Habitat Design,Space habitat design for orbital station using space exploration & colonization approaches,D17,0.93,0.71,,D13,QNimbus,1,prediction
4657,Life Support Systems,Life Support Systems simulation and optimization using space exploration & colonization approaches,D17,0.94,0.78,,D6;D14,QNimbus,1,simulation
4658,In-Situ Resource Utilization,In-Situ Resource Utilization simulation and optimization using space exploration & colonization approaches,D17,0.84,0.8,,D14,QNimbus,1,model
4659,Radiation Shielding,Radiation Shielding simulation and optimization using space exploration & colonization approaches,D17,0.83,0.7,,D19,QNimbus,1,analysis
4660,Orbital Mechanics,Orbital Mechanics simulation and optimization using space exploration & colonization approaches,D17,0.83,0.83,,D13,QNimbus,1,optimization
4661,Habitat Design,Space habitat design for Mars colony using space exploration & colonization approaches,D17,0.73,0.78,,D19;D14,QNimbus,1,design
