id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
5501,Ocean Current Modeling,Ocean dynamics simulation for current prediction using ocean systems & marine tech approaches,D18,0.9,0.87,Ocean modeling;Marine robotics,D20,QNimbus,1,simulation
5502,Marine Robotics,Marine Robotics simulation and optimization using ocean systems & marine tech approaches,D18,0.7,0.76,,D11;D5,QNimbus,1,model
5503,Desalination,Desalination simulation and optimization using ocean systems & marine tech approaches,D18,0.84,0.82,,D5,QNimbus,1,analysis
5504,Offshore Energy,Offshore Energy simulation and optimization using ocean systems & marine tech approaches,D18,0.81,0.92,,D5;D10,QNimbus,1,optimization
5505,Marine Ecology,Marine Ecology simulation and optimization using ocean systems & marine tech approaches,D18,0.9,0.76,,D5,QNimbus,1,design
5506,Ocean Current Modeling,Ocean dynamics simulation for temperature distribution using ocean systems & marine tech approaches,D18,0.88,0.86,,D10;D5,QNimbus,1,prediction
5507,Marine Robotics,Marine Robotics simulation and optimization using ocean systems & marine tech approaches,D18,0.78,0.92,,D11,QNimbus,1,simulation
5508,Desalination,Desalination simulation and optimization using ocean systems & marine tech approaches,D18,0.82,0.72,,D11;D5,QNimbus,1,model
5509,Offshore Energy,Offshore Energy simulation and optimization using ocean systems & marine tech approaches,D18,0.74,0.78,,D20,QNimbus,1,analysis
5510,Marine Ecology,Marine Ecology simulation and optimization using ocean systems & marine tech approaches,D18,0.9,0.74,,D20,QNimbus,1,optimization
5511,Ocean Current Modeling,Ocean dynamics simulation for upwelling zones using ocean systems & marine tech approaches,D18,0.79,0.73,,D20;D10,QNimbus,1,design
5512,Marine Robotics,Marine Robotics simulation and optimization using ocean systems & marine tech approaches,D18,0.88,0.94,,D20,QNimbus,1,prediction
5513,Desalination,Desalination simulation and optimization using ocean systems & marine tech approaches,D18,0.79,0.88,,D11,QNimbus,1,simulation
5514,Offshore Energy,Offshore Energy simulation and optimization using ocean systems & marine tech approaches,D18,0.77,0.92,,D10,QNimbus,1,model
5515,Marine Ecology,Marine Ecology simulation and optimization using ocean systems & marine tech approaches,D18,0.91,0.71,,D10,QNimbus,1,analysis
5516,Ocean Current Modeling,Ocean dynamics simulation for current prediction using ocean systems & marine tech approaches,D18,0.82,0.87,,D5,QNimbus,1,optimization
5517,Marine Robotics,Marine Robotics simulation and optimization using ocean systems & marine tech approaches,D18,0.87,0.84,,D11,QNimbus,1,design
5518,Desalination,Desalination simulation and optimization using ocean systems & marine tech approaches,D18,0.9,0.84,,D10,QNimbus,1,prediction
5519,Offshore Energy,Offshore Energy simulation and optimization using ocean systems & marine tech approaches,D18,0.83,0.88,,D11;D5,QNimbus,1,simulation
5520,Marine Ecology,Marine Ecology simulation and optimization using ocean systems & marine tech approaches,D18,0.8,0.87,,D11,QNimbus,1,model
5521,Ocean Current Modeling,Ocean dynamics simulation for temperature distribution using ocean systems & marine tech approaches,D18,0.72,0.89,,D11;D5,QNimbus,1,analysis
5522,Marine Robotics,Marine Robotics simulation and optimization using ocean systems & marine tech approaches,D18,0.78,0.74,,D20,QNimbus,1,optimization
5523,Desalination,Desalination simulation and optimization using ocean systems & marine tech approaches,D18,0.75,0.94,,D11;D10,QNimbus,1,design
