id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
6501,Precision Agriculture,Precision farming for irrigation optimization using agriculture & food systems approaches,D19,0.97,0.9,Crop optimization;Precision farming,D20,QStack,1,simulation
6502,Crop Optimization,Crop Optimization simulation and optimization using agriculture & food systems approaches,D19,0.71,0.74,,D5,QStack,1,model
6503,Vertical Farming,Vertical Farming simulation and optimization using agriculture & food systems approaches,D19,0.81,0.7,,D5;D9,QStack,1,analysis
6504,Supply Chain,Supply Chain simulation and optimization using agriculture & food systems approaches,D19,0.94,0.81,,D10,QStack,1,optimization
6505,Soil Microbiome,Soil Microbiome simulation and optimization using agriculture & food systems approaches,D19,0.91,0.76,,D10;D20,QStack,1,design
6506,Precision Agriculture,Precision farming for pest management optimization using agriculture & food systems approaches,D19,0.93,0.92,,D9,QStack,1,prediction
6507,Crop Optimization,Crop Optimization simulation and optimization using agriculture & food systems approaches,D19,0.77,0.78,,D10;D5,QStack,1,simulation
6508,Vertical Farming,Vertical Farming simulation and optimization using agriculture & food systems approaches,D19,0.84,0.86,,D5,QStack,1,model
6509,Supply Chain,Supply Chain simulation and optimization using agriculture & food systems approaches,D19,0.82,0.77,,D10,QStack,1,analysis
6510,Soil Microbiome,Soil Microbiome simulation and optimization using agriculture & food systems approaches,D19,0.88,0.74,,D9,QStack,1,optimization
6511,Precision Agriculture,Precision farming for fertilization optimization using agriculture & food systems approaches,D19,0.79,0.83,,D5,QStack,1,design
6512,Crop Optimization,Crop Optimization simulation and optimization using agriculture & food systems approaches,D19,0.87,0.8,,D10,QStack,1,prediction
6513,Vertical Farming,Vertical Farming simulation and optimization using agriculture & food systems approaches,D19,0.93,0.7,,D5;D10,QStack,1,simulation
6514,Supply Chain,Supply Chain simulation and optimization using agriculture & food systems approaches,D19,0.94,0.68,,D9;D20,QStack,1,model
6515,Soil Microbiome,Soil Microbiome simulation and optimization using agriculture & food systems approaches,D19,0.91,0.85,,D9,QStack,1,analysis
