id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
7501,Urban Planning,Smart city planning for traffic flow using urban systems & smart cities approaches,D20,0.9,0.93,Smart infrastructure;Urban analytics,D12,QNimbus,1,simulation
7502,Traffic Optimization,Traffic Optimization simulation and optimization using urban systems & smart cities approaches,D20,0.95,0.77,,D11,QNimbus,1,model
7503,Smart Infrastructure,Smart Infrastructure simulation and optimization using urban systems & smart cities approaches,D20,0.82,0.85,,D8;D19,QNimbus,1,analysis
7504,Energy Management,Energy Management simulation and optimization using urban systems & smart cities approaches,D20,0.79,0.91,,D11;D12,QNimbus,1,optimization
7505,Waste Systems,Waste Systems simulation and optimization using urban systems & smart cities approaches,D20,0.75,0.86,,D11;D8,QNimbus,1,design
7506,Urban Planning,Smart city planning for waste management using urban systems & smart cities approaches,D20,0.92,0.89,,D12;D8,QNimbus,1,prediction
7507,Traffic Optimization,Traffic Optimization simulation and optimization using urban systems & smart cities approaches,D20,0.77,0.86,,D12;D8,QNimbus,1,simulation
7508,Smart Infrastructure,Smart Infrastructure simulation and optimization using urban systems & smart cities approaches,D20,0.95,0.94,,D19,QNimbus,1,model
7509,Energy Management,Energy Management simulation and optimization using urban systems & smart cities approaches,D20,0.8,0.89,,D19;D8,QNimbus,1,analysis
7510,Waste Systems,Waste Systems simulation and optimization using urban systems & smart cities approaches,D20,0.94,0.78,,D8,QNimbus,1,optimization
7511,Urban Planning,Smart city planning for energy distribution using urban systems & smart cities approaches,D20,0.76,0.93,,D12,QNimbus,1,design
7512,Traffic Optimization,Traffic Optimization simulation and optimization using urban systems & smart cities approaches,D20,0.95,0.8,,D12;D8,QNimbus,1,prediction
7513,Smart Infrastructure,Smart Infrastructure simulation and optimization using urban systems & smart cities approaches,D20,0.84,0.81,,D11;D12,QNimbus,1,simulation
7514,Energy Management,Energy Management simulation and optimization using urban systems & smart cities approaches,D20,0.79,0.74,,D12,QNimbus,1,model
7515,Waste Systems,Waste Systems simulation and optimization using urban systems & smart cities approaches,D20,0.77,0.82,,D12;D11,QNimbus,1,analysis
7516,Urban Planning,Smart city planning for traffic flow using urban systems & smart cities approaches,D20,0.76,0.73,,D12,QNimbus,1,optimization
7517,Traffic Optimization,Traffic Optimization simulation and optimization using urban systems & smart cities approaches,D20,0.73,0.7,,D8,QNimbus,1,design
7518,Smart Infrastructure,Smart Infrastructure simulation and optimization using urban systems & smart cities approaches,D20,0.91,0.94,,D8;D19,QNimbus,1,prediction
7519,Energy Management,Energy Management simulation and optimization using urban systems & smart cities approaches,D20,0.72,0.89,,D12,QNimbus,1,simulation
7520,Waste Systems,Waste Systems simulation and optimization using urban systems & smart cities approaches,D20,0.84,0.74,,D19;D11,QNimbus,1,model
7521,Urban Planning,Smart city planning for waste management using urban systems & smart cities approaches,D20,0.71,0.84,,D12;D11,QNimbus,1,analysis
7522,Traffic Optimization,Traffic Optimization simulation and optimization using urban systems & smart cities approaches,D20,0.79,0.89,,D11,QNimbus,1,optimization
7523,Smart Infrastructure,Smart Infrastructure simulation and optimization using urban systems & smart cities approaches,D20,0.94,0.76,,D11,QNimbus,1,design
7524,Energy Management,Energy Management simulation and optimization using urban systems & smart cities approaches,D20,0.81,0.76,,D12,QNimbus,1,prediction
7525,Waste Systems,Waste Systems simulation and optimization using urban systems & smart cities approaches,D20,0.72,0.87,,D12,QNimbus,1,simulation
7526,Urban Planning,Smart city planning for energy distribution using urban systems & smart cities approaches,D20,0.81,0.77,,D19,QNimbus,1,model
7527,Traffic Optimization,Traffic Optimization simulation and optimization using urban systems & smart cities approaches,D20,0.83,0.68,,D11;D19,QNimbus,1,analysis
7528,Smart Infrastructure,Smart Infrastructure simulation and optimization using urban systems & smart cities approaches,D20,0.88,0.78,,D19,QNimbus,1,optimization
7529,Energy Management,Energy Management simulation and optimization using urban systems & smart cities approaches,D20,0.94,0.7,,D19,QNimbus,1,design
7530,Waste Systems,Waste Systems simulation and optimization using urban systems & smart cities approaches,D20,0.74,0.86,,D12;D8,QNimbus,1,prediction
7531,Urban Planning,Smart city planning for traffic flow using urban systems & smart cities approaches,D20,0.76,0.83,,D19;D11,QNimbus,1,simulation
7532,Traffic Optimization,Traffic Optimization simulation and optimization using urban systems & smart cities approaches,D20,0.87,0.7,,D8,QNimbus,1,model
7533,Smart Infrastructure,Smart Infrastructure simulation and optimization using urban systems & smart cities approaches,D20,0.81,0.78,,D19;D11,QNimbus,1,analysis
7534,Energy Management,Energy Management simulation and optimization using urban systems & smart cities approaches,D20,0.95,0.88,,D12;D8,QNimbus,1,optimization
7535,Waste Systems,Waste Systems simulation and optimization using urban systems & smart cities approaches,D20,0.71,0.68,,D8,QNimbus,1,design
7536,Urban Planning,Smart city planning for waste management using urban systems & smart cities approaches,D20,0.77,0.87,,D8;D11,QNimbus,1,prediction
